行李,여행짐|행장|수화물
作用,작용|작용하다|영향을 미치다
作业,숙제|과제|작업
最近,최근|요즈음|일간
总是,늘|반드시|꼭
自己,자기|자신|스스로
字典,자전
注意,주의하다|조심하다|주의
主要,주요하다|주로|대부분
祝,빌다|축하하다|성
周末,주말
终于,마침내|결국|끝내
重要,중요하다
中间,속|안|중
种,성|종
只,단독의|쪽|단지
照相机,사진기|카메라
照片,사진
着急,조급해하다|안달하다|안타까워하다
照顾,고려하다|주의하다|돌보다
长,길다|길이|항상
站,서다|어느 편에 서다|오래 가다
云,말하다|별 다른 뜻이 없이 어조를 고르게 하는 어조사|이와 같다
月亮,달
越,넘다|점점|월나라
遇到,만나다|마주치다|부닥치다
愿意,희망하다|…하기를 바라다|동의하다
游戏,유희|놀다|장난치다
有名,유명하다|정당한 이유가 있다
又,또|한편|그 위에
用,쓰다|비용|그러므로
一直,똑바로|곧바로|줄곧
一样,같다|동일하다|한 종류
以为,
以前,이전
音乐,음악
银行,은행
影响,영향을 주다|영향|전해들은 것
应该,마땅히 …해야 한다|응당 …할 것이다|마땅하다
一会儿,잠시|곧|잠깐 동안
以后,이후|금후|차후
一共,전부|모두|합계
一定,규정되어 있다|일정하다|규칙적이다
一边,한쪽|한면|옆
一般,같다|어슷비슷하다|일종
爷爷,할아버지|조부님|조부의 나이에 속하는 어른에 대한 존칭
要求,요구|요망|요구하다
眼镜,안경
需要,요구되다|필요로 하다|수요
选择,선택하다|선택|셀렉팅
洗澡,목욕하다|몸을 씻다|자발적으로 결점을 찾아내 고치다
洗手间,화장실|측간|변소
熊猫,판다
新鲜,신선하다|싱싱하다|새롭다
新闻,뉴스|새로운 일|신기한 일
兴趣,흥취|흥미|재미
信,확실하다|확실히|신용
习惯,습관|버릇|습성
鞋,신
校长,학교장|교장
小心,조심하다|주의하다|주의 깊다
相信,믿다|신임하다
相同,똑같다|서로 같다|같다
香蕉,바나나|서양의 생활 방식을 모방하려는 사람을 조롱하여 일컫는 말
像,본뜬 형상|닮다|어울리다
先,앞|앞서 가다|먼저
夏,여름|하|중국의 옛 이름
西,서쪽|서양|‘西门子’의 준말
文化,문화|지식|교육 수준
为了,…를 위하여|…하기 위하여|…을 위해서
位,곳|위치하다|분
为,하다|…당하다|주로 ‘何’와 함께 쓰여 의문의 어감을 나타냄
忘记,잊어버리다|소홀히 하다|까먹다
完成,완성하다|끝내다|완수하다
碗,주발|가운데가 움푹 들어간 주발 모양의 물건|그릇·공기·사발이나 등불을 세는 단위
万,만|매우 많은|대단히
图书馆,도서관
突然,갑작스럽다|돌연하다|창졸하다
腿,생리 다리|다리|걷다
头发,머리카락|두발
同意,동의|승인|찬성
同事,함께 일하다|동료|동업자
体育,체육|스포츠
提高,제고하다|향상시키다|높이다
条,가늘고 긴 나뭇가지|폭이 좁고 긴 것|가늘고 긴 것
甜,달다|달콤하다|즐겁다
疼,아프다|남의 처지를 헤아리는 마음|너무나
特别,특별하다|특이하다|유다르다
糖,"엿 당, 설탕"
太阳,태양|해|햇빛
虽然,비록 …일지라도|설령 …일지라도
司机,기관사|운전사|조종사
数学,수학|술수
叔叔,숙부|아저씨|시동생
水平,수평|수준|수준기
舒服,편안하다|상쾌하다|안락하다
刷牙,이를 닦다|칫솔
双,두|쌍|둘을 합치다
树,수목|심다|양성하다
瘦,마르다|지방이 적다|꼭 끼다
世界,"세계|세상|널리 중생이 삶을 영위하는 범위, 곧 우주"
使,파견하다|가령|외교관
声音,성음|목소리|소리
生气,화내다|성내다|생기
上网,인터넷에 접속하다
伞,우산|우산 모양의 물건|성
如果,만약|만일
容易,쉽다|용이하다|하기 쉽다
热情,열정|열정적이다|의욕
认真,진지하다|성실하다|곧이 듣다
认为,여기다|생각하다|보다
然后,연후에|그러한 후에|그리고 나서
裙子,치마|스커트
秋,가을|농작물이 익을 때|해
其他,기타|그 외|그 밖
其实,사실은|실제는|실은
清楚,분명하다|명백하다|맑다
奇怪,괴상하다|기괴하다|괴이하다
铅笔,연필
骑,올라타다|양편에 걸쳐 있다|타는 말
普通话,현대 중국어의 표준어|표준어
葡萄,포도|포도나무
啤酒,맥주
爬山,등산하다|산에 올라가다|등산
盘子,쟁반|시장 가격|매매 가격
胖,편안하고 안락하다|뚱뚱하다|살지다
努力,노력하다|힘쓰다|노력
鸟,새|좆
年轻,젊다
年级,학년
难过,괴롭다|고생스럽다|지내기 어렵다
难,어렵다|곤란하게 하다|재난
南,남|남방·남부|성
奶奶,할머니|할머니와 같은 항렬 혹은 같은 연배의 부인|젊은 부인
拿,잡다|완력으로 제압하다|…로
明白,분명하다|명백하다|총명하다
面条,국수|흘러내린 콧물|테이프가 엉클어진 상태
面包,빵
米,미터
马上,곧|즉시|말의 등 위
帽子,모자|딱지|죄명 또는 악평의 레테르
满意,만족하다|만족스럽다|결의하다
马,말|큰
绿,"뜻은 ‘绿lǜ’와 같으며, ‘绿林’ ‘绿营’ 등에 쓰임|초록색|푸르다"
楼,층집|층|동을 셀 때 씀
礼物,선물|예물|방문 선물
历史,역사|역사학|이력
邻居,이웃|이웃집|이웃 사람
离开,떠나다|벗어나다|헤어지다
了解,알다|이해하다|조사하다
练习,연습하다|연습|익히다
辆,대|차량을 셀 때 쓰는 양사
脸,얼굴|물체의 앞부분|체면
老,늙다|노인|죽다
蓝,쪽|남빛|남루하다
裤子,바지
筷子,젓가락
哭,울다
口,입|말|식구
空调,에어컨디셔너|공기를 조절하다|에어컨
客人,손님|여객|길손
可爱,사랑스럽다|귀엽다
刻,새기다|15분|시간
渴,목 타다|절실하다|간절하다
句子,문장|문|구
举行,거행하다|개최하다|실시하다
决定,결정하다|결정|규정하다
旧,옛날의|헐다|옛 친구
久,오래다|오랫동안|시간
经理,경영 관리하다|지배인|사장
经过,경과하다|거치다|지나다
经常,늘|항상|언제나
季节,계절|철
机会,기회
几乎,거의|하마터면
结束,끝나다|마치다|종결하다
节日,기념일|명절|경축일
节目,종목|프로그램|레퍼토리
解决,해결하다|소멸하다|없애 버리다
结婚,결혼하다
街道,큰길|가로|거리
借,빌다|빌려 주다|가탁하다
接,가까이 가다|잇다|성
记得,기억하고 있다|잊지 않고 있다
脚,발|밑동|위에서 아래로 늘어뜨려진 것
角,뿔|4분의 1|다른 말의 끝에 붙어 명사를 이루어 범위가 비교적 작고 취미·기호 또는 소망이 같은 사람들이 늘 모여 활동하는 장소를 가리킴
教,가르치다|가르침
见面,대면하다|만나다|서로 만나다
健康,건강|건전|정상
讲,이야기하다|설명하다|상의하다
简单,간단하다|단순하다|평범하다
检查,검사하다|점검하다|검열하다
极,정점|절정에 이르다|최고의
护照,여권|증명서|통행증
或者,아마|…든지|또는
会议,회의
花园,화원|꽃밭
环境,환경|주위 상황
黄,황색|선정적이다|깨지다
换,교환하다|갈다|금과 화폐의 교환 비율
还,아직|돌아가다|성
坏,나쁘다|나쁘게 하다|나쁜 생각
