喜,기쁘다|즐겁다|좋아하다
揮,휘두르다|뿌리다|나타내다
厚,두텁다|두께
候,철|염탐|살피다
灰,재|재로 만들다|재가 되다
況,하물며|이에|비유하다
環,환옥|물러나다
歡,기뻐하다|기쁘게 하다|기쁨
華,빛나다|꽃|빛
紅,붉다|길쌈하다|검붉다
混,섞다|오랑캐 이름
婚,혼인하다|아내의 친정|장인
或,혹|나라
刑,형벌|형벌을 주다|죽이다
顯,나타나다|영달하다|나타내다
革,가죽|엄하다
險,험하다|고생하다|낭떠러지
憲,법|가르침|상관
核,씨|사물의 중심|씨가 있는 과일
抗,막다|돕다|들다
閑,한가하다|막다|문지방
恨,한하다|뉘우치다|한
避,피하다|떠나다|벗어나다
疲,피곤하다|앓다
標,우듬지|높은 가지|끝
爆,터지다|불 사르다|말리다
胞,태보|숙수|여드름
閉,닫다|막다
評,꼲다|품평|문체의 한 가지
篇,책|완결된 시문|시문을 세는 단위
判,뻐개다|판가름하다|나누다
派,물갈래|갈라지다|가르다
鬪,싸움|싸우게 하다|전쟁
投,던지다|머무르다
痛,아프다|괴롭히다|괴로움
討,치다|없애다|다스리다
擇,가리다
探,찾다|엿보다|잡다
脫,벗다|기뻐하다|허물을 벗다
歎,탄식하다|노래하다|기리다
彈,탄환|튀기다
稱,일컫다|저울
針,바늘|바느질하다
寢,잠자다|앓아 눕다|쉬다
層,층|겹치다|계급
趣,달리다|재촉하다|벼슬 이름
就,이루다|좇다|나가다
縮,오그라들다|오그라뜨리다|다스리다
推,옮다|밀다
招,부르다|들다|악곡 이름
聽,듣다|허락하다
廳,관청|대청
泉,샘|돈|저승
冊,册과 同字
採,캐다|가리다|나뭇군
讚,기리다|밝히다|적다
差,어긋나다|층지다|부리다
陣,진치다|줄|방비
盡,다하다|진력하다
珍,보배|진귀하다|맛좋은 음식
織,짜다|무늬 비단
誌,기록하다|표|기록
智,슬기|슬기롭다|꾀
持,가지다|보전하다|지키다
證,증거|증명하다|법칙
酒,술|물|주연
朱,붉다|붉은 빛깔을 띤 물건|적토
周,두루|둘레|돌다
座,자리|깔개|지위
鍾,술병|모이다|거듭하다
從,좇다|시중들다|높고 큰 모양
存,있다|보존하다|문안하다
組,끈|땅 이름
潮,조수|흘러들다|조수가 밀다
條,가지|씻다
帝,임금|하느님|오제의 약칭
靜,고요하다|맑다|단청이 정밀하다
整,가지런하다|가지런히 하다
丁,넷째 천간|소리의 형용
點,점|글자를 지우다|세다
占,점치다|차지하다|지키다
折,꺾다|편안한 모양
錢,돈|가래|안주
轉,구르다|돌리다
專,오로지|둥글다
適,가다|원수|다만
賊,도둑|해치다|죽이다
績,잣다|잇다|일
籍,문서|온화하다
積,쌓다|저축
底,밑|이르다
裝,꾸미다|행장
腸,창자|마음
張,베풀다|큰체하다
帳,휘장|천막|군막
壯,씩씩하다|성
雜,섞이다|섞다|만나다
殘,해치다|상해|잔인하다
資,재물|방종하다
姿,맵시|모양내다
姉,姊의 俗字
仁,어질다|어진 이|사람
異,다르다|달리하다|의심하다
疑,의심하다|정하다|서다
儀,거동|법|우주의 대본
依,의지하다|병풍
隱,숨다|기대다
遺,남기다|보내다|따르다
遊,놀다|놀이|협기
儒,선비|유교|교양 있는 사람
乳,젖|젖 먹이다|낳다
慰,위로하다|위로|우울해지다
威,위엄|세력|두려워하다
委,맡기다|옹용하다
圍,둘레|에워싸다|사냥하다
