feed,사료|먹이|공급하다|수유|사육
access,접근|이용|접속|출입
ability to,
direction,방향|지시|길|목표
faintly,희미하게|힘없이|어렴풋이
dignity,존엄|품위|품격|위엄|자존감
accompany,동행하다|함께 ~하다|수반하다|따르다|수행하다
disclose,공개하다|밝히다|발표하다|드러내다|제시하다
install,설치하다|장착하다|임명하다
due,예정인|정당한|때문에|인해|세금
ecology,생태 환경
occupation,직업|점령|일제 식민통치
agenda,의제|과제|안건|아젠다|정책
stockholder,주주|가축 소유자
unanimous,만장일치의|합의의|한결같이
operation,운영|수술|활동|작전|운용
handle,처리하다|다루다|감당하다|손잡이|만지다
approval,승인|허가|동의|찬성
due to,때문에|인해|이유로|위해|덕분에
abnormal,비정상적인|이상한
enclose,에워싸다|둘러싸다|동봉하다|첨부하다
amend,개정하다|수정하다|보상
additional,추가의|더|다른|또|부가적인
pick,선택하다|고르다|따다|줍다|선발하다
expression,표현법|표현|표정|말|표시
various,다양한|여러가지의|많은|얼룩덜룩한
alarming,놀라운|걱정스러운|급속도로|경고하다
fresh,신선한|새로운|신규|깨끗한|싱싱한
offense,범죄|공격|위반|기분 나쁜|침해
rare,드문|희귀한|매우|흔치않은|희유한
be acquainted with,…에 정통하다|잘알다|잘 아는
coverage,보도|커버리지 |방송|지역|범위
appetite,식욕|관심|성향|입맛
affection,애정|애착|사랑
ability,능력|수 있다|기능|력|재능
whether,어떨지|…이든 아니든
through,통하여|지나서|겪다|통과|사이로
slowly,천천히|느리게|점점|완만하게
since,…이후|…때부터|…이래|그 후
recently,최근에|얼마전|근래에|요즘에|요즈음
itself,자체|스스로|자신|自|자국
immediately,즉시|…하자마자|바로|곧|직후
exactly,정확히|바로|그렇소|딱|확실히
besides,…외에|게다가|그리고|…말고는|...제외하고
apart,떨어진|분리된|분해하는|따로|구별되는
ahead,앞서|앞에|미리|빠르게
abroad,해외에|외국에|널리
wrap,포장하다|마치다|두르다|비닐 랩|빠지다
wake,후류|깨다|웨이크|일어나다|각성하다
vote,투표|선거|표|표결
tear,눈물|찢다|파괴하다|분열하다
struggle,투쟁하다|분투하다|애쓰다|싸움|어려움을 겪다
stare,쳐다보다|바라보다|응시하다|노려보다|뚫어지게 보다
spread,확산되다|퍼지다|퍼뜨리다|번지다|유포시키다
smell,냄새|냄새나다|냄새를 맡다|후각|향기
