invulnerable,불사신의|공격할 수 없는|반박할 수 없는
introspect,내성하다|자기 반성하다|내관하다
insipid,재미없는|맛없는|무미건조한
indisputable,명백한|논의의 여지가 없는|부정할 수 없는
luscious,감미로운|달콤한|매혹적인
irrespective,관련 없는|고려하지 않고|관계 없는|무시하고
insomnia,불면증|잠을 잘 수 없음|불면
indomitable,불굴의|꿋꿋한|굴하지 않은
malediction,저주|중상|욕
jettison,투하|버리다|내던지다
inopportune,시기를 놓친|시기가 나쁜|형편이 나쁜
indelible,지울 수 없는|씻어버릴 수 없는|없앨 수 없는
macrocosm,대우주|전체|확대 모형
intersperse,점재시키다|…을 배치하다|흩뿌리다
inscrutable,수수께끼 같은|헤아릴 수 없는|불가해한
infiltrate,…을 침투시키다|스며들다|잠입하다
magnanimous,관대한|도량이 큰|도량이 넓은
interurban,도시간의|도시간 연락 교통 기관|도시 사이의
interpose,방해하다|끼워 넣다|이의를 제기하다
ineffable,말로 표현할 수 없는|형언할 수 없는|이루 말할 수 없는
liquidate,청산하다|정리하다|폐지하다
inveterate,뿌리 깊은|상습적인|만성의
integrate,통합하다|융합하다|접목하다|포함하다
infuse,우리다|우러나다|달이다
luminous,빛을 내는|밝은|야광의
irreparable,수선할 수 없는|돌이킬 수 없는|고칠 수 없는
ingrate,배은망덕한 사람|은혜를 모르는|배은 망덕자
induct,입성|안내하다
lexicon,어휘|사전|렉시콘|용어집|목록
kleptomaniac,도벽이 있는|병적 도벽자|병적인 도벽
intercede,중재하다|탄원하다|조정하다
incubus,악몽|가위|몽마
litigation,소송|기소|고소
irrupt,침입하다|거친 짓을 하다|갑자기 불어나다
intact,손상되지 않은|온전한|원래대로의
incursion,침입|습격|유입
licentious,방탕한|방종한|부도덕한
inveigh,욕설하다|통렬히 비난하다|심하게 항의하다
insoluble,해결할 수 없는|용해되지 않는|녹지 않는
infatuate,열중하게 하다|얼빠지게 하다|열중한 사람
limpid,투명한|맑은|명쾌한
introvert,내향성인 사람|내성적인 사람|내성적인
insurgent,반란자|폭도|반란을 일으킨
incumbent,현직의|현직자|재직자
luster,광채|영광
irascible,성미 급한|성마른|화를 잘 내는
insurmountable,능가할 수 없는|넘을 수 없는|이겨낼 수 없는
indecisive,우유부단한|승패가 나지 않은
interstellar,성간의|인터스텔라
interlude,막간|사이에 생긴 일|막간 촌극
incongruous,조화되지 않는|일치하지 않는|앞뒤가 맞지 않는
malfeasance,부정 행위|위법 행위|부정
invoice,청구서|송장|인보이스
insatiable,만족할 줄 모르는|탐욕스러운|탐욕적인
indent,주문하다|…을 움푹 들어가게하다|약간 안으로 들여 시작하다
maim,불구로 만들다|쓸모없게 하다|손상하다
intractable,고집센|처리하기 어려운|고치기 어려운
innuendo,풍자|암시|빈정거리다
infrared,적외의|적외선에 민감한|적외부
malefactor,범인|악인|죄인
invigorate,활성화하다|활기차게|회복시키다|강화하다
indiscreet,무분별한|지각없는|경솔한
inquest,검시|조사|사인 심문
malcontent,반항자|불만이 있는|비판적인
interweave,짜넣다|섞어 짜다|섞어서 짜다
inoculate,예방 접종하다|접종하다|예방주사를 놓다
indecent,버릇없는|점잖지 못한|품위 없는
lithe,나긋나긋한|유연한|뼈가 연한
intramural,교내의|교내 대표에 의한|도시내의
inept,서투른|부적당한|부적절한
ineligible,자격이 없는|부적당한|부적격자
malformation,기형|꼴이 흉함|꼴불견
interminable,끝없는|지루하게도 긴|무한의 실재
ingratiate,환심을 사다|환심사다|영합하다
inexpiable,속죄할 수 없는|죄 많은|앙심 깊은
maladjustment,조절 불량|부적응|불균형
kindred,동류의|일족|혈연
interact,작용하다|소통|교류하다|반응하다|함께하다
influx,유입|쇄도|도래
irrevocable,취소할 수 없는|돌이킬 수 없는|폐기할 수 없는
interstice,간격|틈새|열극
insufferable,견딜 수 없는
indict,기소하다|비난하다|공격하다
macroscopic,육안으로 보이는|거시적인
interpolate,삽입하다|보충하다|…이라고 말참견하다
inimical,해로운|적대하는|반하는
ingrained,뿌리 깊은|깊이 배어든|철저한
laconic,간결한|간명한|짧으나 함축성 있는
irreconcilable,화해할 수 없는|양립할 수 없는|타협할 수 없는
innocuous,해가 없는|악의 없는|무해한
inculcate,가르치다|주입시키다|타이르다
maladroit,솜씨 없는|재치 없는|서투른
inveigle,꾀다|유인하다|속이다
ingest,섭취하다|수집하다|받아들이다
infidel,이교도|이교도의|신앙심 없는 사람
loquacious,시끄러운|떠들썩한|말하기를 좋아하는
jargon,전문어|은어|허튼소리
interject,…을 던져넣다|불쑥 끼워 넣다|말참견하다
inflexible,확고한|구부릴 수 없는|굳은
proliferate,증식하다|번식하다|급증하다
platitude,상투어|진부|평범
perdition,지옥|지옥에 떨어짐|파멸
penniless,무일푼의|빈털터리의|극빈의
promiscuous,난잡한|혼잡한|마구잡이의
predetermine,…을 미리 결정하다|미리 방향짓다|선결하다
pillage,약탈하다|약탈|약탈품
pandemonium,복마전|대혼란|수라장
quixotic,돈키호테식인|공상적인|열광적인
prognosticate,…을 예언하다|예지하다|…의 징후를 보이다
pithy,간결한|힘찬|뜻이 깊은
parody,패러디|풍자|익살|패로디   |흉내
prosaic,평범한|산문의|지루한
plaintive,구슬픈|애처로운|슬픔을 자아내는
perspiration,땀|발한|노력
overpass,…을 건너다|극복하다|고가 도로
rapacious,약탈 하는|탐욕스러운|만족할 줄 모르는
premium,프리미엄|보험료|고급의|권리금|높은
percolate,…에 삼투하다|여과하다|거르다
overt,공공연한|명백한|분명한
punctilious,꼼꼼한|딱딱한|격식을 차리는
preemptor,선매자|선매권 획득자
precursor,선구자|선배|전조
outweigh,…보다 뛰어나다|중대하다|우세하다
propitiate,…을 달래다|…을 화해시키다|비위 맞추다
plebeian,평민의|대중의|천한
petrify,석화하다|망연자실하게 하다|…을 굳어지게 하다
paltry,하찮은|무가치한|얼마 안 되는
purview,범위|권한|시야
polygamy,일부다처|일처다부|다혼성
perimeter,주변|외곽|경계
parasite,기생충|기생물
propitious,호의를 가진|형편 좋은|친절한
prevaricate,얼버무리다|속이다|거짓말하다
phony,가짜|위장|사기|장난
paranoia,망상증|편집증|불안감|심한 공포증
proximity,근접|가까움|접근
posthumously,사후에
placate,달래다|위로하다|진정시키다
oversee,감독하다|두루 살피다|감시하다
prolix,장황한|지루한|지루하게 긴
preamble,프리앰블 |서문|서론|서두
pedantic,현학적인|아는 체하는|학자라고 뽐내는|세세한 것에 얽매이는
parsimonious,인색한|검약하는|극도로 절약하는
quack,돌팔이 |꽥꽥
prefabricate,미리 제조하다|조립식으로 집을 짓다|조립식으로 만들다
percussion,타악기|충격
paragon,표본|본보기|화신
quintessence,정수|본질|가장 순수한 형태
prototype,원형|시제품|모델|기본형|견본
penance,참회|고행|벌하다
paraphrase,바꾸어 말하기|바꿔 쓰다|의역
protagonist,주인공|주역|주연|중심
postmortem,discussion of an event after it has occurred
phlegmatic,무기력한|냉담한|점액질의
pandemic,전국적으로 유행하는|전국적인 유행병|전지역에 걸치는
pungent,신랄한|자극적인|찌르듯이 자극하는
poignant,신랄한|통렬한|날카로운
pertinacious,고수하는|집요한|끈기 있는
partisan,당파적 |지지자|빨치산|자기편
purport,취지|의도|칭하다
presentiment,예감|육감|기미
physiological,생리적인|생리학상의|생리학의
patriarch,족장|가장|장로
pugnacious,싸움하기 좋아하는|호전적인|싸우기 좋아하는
predilection,편애|좋아함|두둔
perquisite,임시수입|팁|부수입
panegyric,찬사|칭찬하는 말|공식적인 찬사
prostrate,엎드리게 하다|엎드리다|엎드린
polyglot,여러 나라 말로 쓴|여러 나라 말을 아는 사람|여러 언어에 통하는
piquant,통쾌한|짜릿한|얼얼한
overrun,침략하다|…을 초과하다|초과
presage,…을 예언하다|전조가 되다|전조
peruse,…을 통독하다|숙독하다|읽다
pedagogue,교육자|교사|규칙이 까다로운 선생
protocol,의례|프로토콜|원안
profligate,방탕한|품행이 나쁜|부도덕한
periphery,주변|말초|주위
parish,본당
rampart,성벽|누벽|…을 방어하다
predominate,우세하다|우위를 차지하다|영향력을 가지다
pert,활발한|건방진|주제넘은
proponent,제안자|지지자|발의자
prerequisite,필요 조건|사전에 필요한|빠뜨릴 수 없는
permeate,스며들다|퍼지다|배어들다|보급되다
override,무시하다|최우선의|무시|오버라이드하기|번복하다
quandary,곤혹|궁지|난처한 입장
philanthropist,자선가|박애주의자|박애가
overrate,…을 과대평가하다|지나치게 어림잡다
pseudonym,필명|익명|가명
precocious,조숙한|숙성한|일찍 꽃피는
pellucid,투명한|명료한|맑은
overlap,중복되다|일치하다
progenitor,조상|선조|선배
plagiarism,표절|표절 행위|표절물
penurious,가난한|인색한|몹시 인색한
pantheism,범신론|만유 신교|다신교
supervene,일어나다|결과로서 일어나다|수반하여 병발하다
rudimentary,초보의|미발달의|기본의
renovate,…을 새롭게 하다|개조하다|…을 수선하다
rectitude,정직|엄정|청렴
spurious,가짜의|사생아의|의사의
