provide,ability
develop,expense
service,local
inform,involve
relationship,stress
improve,therefore
individual,positive
require,average
advise,ride
social,encourage
amount,determine
behave,international
employ,consume
attitude,impress
research,object
audience,available
volunteer,contain
influence,recognize
terrible,material
opportunity,comfort
emotion,occur
amaze,complex
reduce,define
discover,proud
decide,aware
benefit,contact
affect,profession
level,detail
chemistry,approach
immediate,career
thus,package
proper,disappear
performance,novel
essence,secure
economic,fashion
cell,despite
focus,background
issue,solution
participate,generate
demand,eventually
decrease,compose
recycle,genius
desire,reflect
balance,cause
negative,frequent
follow,factor
account,extreme
publish,tend
occasion,politics
replace,insist
constant,extend
expert,lonely
term,habitat
relieve,mental
describe,steady
biology,exchange
due,active
equipment,species
congratulate,athletic
birth,dental
delight,flood
confident,fuel
gradually,manufacture
shadow,movement
access,capable
announce,combine
allow,gene
firm,increase
vary,victim
injure,pressure
permit,accompany
response,frustrate
threat,construct
electricity,dwindle
disabled,commerce
lack,entertain
signify,predict
concentrate,apologize
emphasize,sight
astronomy,quantity
conclude,remark
donate,moral
personality,embarrassed
struggle,claim
advantage,reasonable
variety,interrupt
enable,discount
instruction,creature
assume,heal
attempt,establish
incredible,revolution
feature,criticize
confuse,convince
electronic,efficient
absorb,stranger
indicate,tide
analyze,obtain
stock,assist
resident,disaster
labor,terrific
specific,route
react,psychology
independent,passion
theory,import
qualify,purchase
consider,conscience
recall,pose
risk,length
treatment,severe
engage,decade
motivate,occupy
clue,acquire
cancer,interact
elder,brief
depress,observe
fascinate,poetry
violent,salary
alarm,grain
edge,meaningful
deserve,weed
survival,policy
comment,mass
leap,committee
survey,accurate
typical,arrange
mere,facility
mechanic,consult
mood,refer
approve,attach
rural,recover
finance,reward
seek,enormous
operation,domestic
crime,wealth
awful,elementary
series,gap
exhausted,except
absolute,journey
surround,plain
display,downtown
previous,intend
produce,aspect
remain,potential
break,award
slight,preserve
include,spot
delay,underground
file,consequence
ethic,target
instant,unless
reveal,accomplish
breed,adopt
leisure,unique
urban,slip
witness,civilization
admit,row
muscle,horizon
device,atmosphere
suppose,label
owe,decorate
identify,physics
standard,evaluate
scale,tremendous
evident,application
seldom,vote
secretary,spread
basis,impact
automatic,cooperate
region,emit
rise,request
addict,guarantee
disappoint,resist
artificial,fulfill
possess,stink
substance,grant
realistic,rely
encounter,permanent
differ,emergency
principle,rid
memorize,theme
hesitate,recite
location,gather
restrict,cabin
organism,gear
resolve,ray
offer,release
distribute,rank
rainforest,symphony
circumstance,envy
interpret,corporate
suitable,alternative
curve,retire
annoy,appeal
frighten,identical
estimate,investment
refuse,autograph
adventure,slave
entrance,harm
persuade,authority
perceive,innocence
receive,destination
infant,expand
calculate,compete
charity,evolution
accept,hire
depend,genuine
whereas,status
broad,military
treat,logic
ignorant,gravity
pure,isolate
extinct,commit
household,sum
refund,conserve
continue,concept
institute,swing
lately,sensible
ashamed,marriage
dense,reproduce
rescue,tone
cancel,universal
return,surface
invitation,eager
precise,legal
formal,annual
apparent,trap
departure,demonstrate
visual,companion
current,democracy
agriculture,mature
leak,brilliant
portion,faith
trend,aim
particle,spare
rite,transfer
distinct,oppose
component,desperate
poverty,remote
sculpture,offend
descend,awake
option,discipline
insight,forbid
achieve,ultimate
civil,thrive
pause,conversation
prove,bet
lecture,royal
minor,ruin
duty,worship
vigor,evil
organize,scarce
chief,afterward
complicated,client
digest,insure
shortage,fancy
laboratory,surgery
arrive,assign
generous,regulate
laundry,shelf
transform,utility
necessity,pupil
yield,intellect
decline,spice
coincidence,tempt
aside,inspire
contemporary,dine
bless,literally
explain,appropriate
prior,resort
tolerate,grab
measure,propose
abstract,wreck
cottage,document
correct,suspect
confirm,alien
imitate,prohibit
prey,install
defeat,triumph
illustrate,scholarship
fuse,execute
ensure,nevertheless
receipt,seal
defect,greed
trait,contract
modest,nutrition
virtual,retail
compare,prejudice
address,register
inner,agency
contrary,nurture
split,priest
supervise,elegant
inhabit,impose
appear,arise
commute,modify
earthquake,masterpiece
enroll,harsh
debate,drought
abandon,criteria
conquer,extraordinary
general,dilute
spill,figure
usual,dim
routine,warehouse
eliminate,crew
deny,barrier
scream,tradition
sensitive,pedestrian
swallow,glance
glare,irritate
tragic,cruel
deprive,fold
conscious,trial
interfere,tribe
temporary,profound
council,distinguish
adolescent,errand
associate,welfare
arctic,statement
capture,prevail
widespread,noble
result,repair
fade,candidate
progress,ideal
weapon,crop
drastic,ethnic
reinforcement,foretell
wonder,wholesale
pile,debt
protect,representative
infection,shift
stiffen,excess
endanger,strict
adjust,appliance
peer,furthermore
renew,command
germ,ecosystem
atom,fame
realize,oral
enrich,drift
avoid,thread
outstanding,dynasty
mislead,scatter
dedicate,gamble
initial,temper
sink,undoubtedly
entire,raft
confront,minimal
beard,soak
haste,craft
crush,cease
destiny,review
hardship,ceiling
escape,unify
valid,combat
dispose,bump
exist,primary
optimal,genre
hydrogen,erase
perspective,doom
vital,sphere
incident,inherit
session,disgrace
obvious,crawl
moderate,scratch
budget,diabetes
graze,congestion
fragile,constitute
myth,flow
fur,investigate
indifferent,barter
strain,circular
ingredient,chilly
dismiss,ancestor
geometry,fierce
glacier,vague
urge,rough
celebrity,content
antique,obstacle
profit,editorial
abolish,tissue
assure,lord
form,substitute
gender,scan
innovation,pottery
opponent,layer
present,property
fertile,justify
emperor,polish
dwell,flavor
chore,imprint
rehearsal,heritage
fossil,strive
glitter,radiant
carve,exclaim
decay,asset
protein,portray
backward,administer
translate,wage
refresh,subscribe
merit,famine
launch,pill
conference,immune
accuse,raw
enhance,superior
intimate,string
reception,cope
overwhelm,loan
apply,obedient
majesty,procedure
shrug,bond
vicious,angle
cherish,subtle
eternal,depict
shrink,radical
colleague,caution
transmit,persist
discard,reverse
copper,cattle
orbit,therapy
experience,panic
strategy,optimistic
attract,murder
hence,fundamental
architecture,loyal
territory,humid
wilderness,pretend
category,graduate
funeral,delicate
prefer,inflate
outcome,adequate
humiliation,physician
ban,joint
flush,via
omit,passage
despair,vessel
alert,restore
compact,passive
likewise,marble
astonish,classify
prepare,infinite
transaction,roam
sufficient,decent
stable,behalf
concern,distortion
sympathy,bud
principal,symbolic
by-product,municipal
anxiety,phenomenon
edible,devote
federal,peasant
suffer,diminish
trivial,jealous
tablet,exclude
trade,flexible
liquid,tenant
contend,worthwhile
anticipate,pavement
outlook,nominate
desert,sacred
support,collapse
revise,trigger
suggest,martial
control,monologue
mammal,deliberate
internal,plot
resent,rod
abrupt,partial
diverse,mutual
refine,priceless
dynamic,fate
nerve,pursue
prompt,Atlantic
suspend,weird
industry,booth
iceberg,prescribe
monetary,erupt
superb,insult
gloom,gaze
distraction,supreme
context,cheer
complete,miserable
race,tease
dominate,aggressive
vehicle,cure
complain,attribute
brochure,foster
force,psychologist
nest,postpone
gain,rob
curriculum,abuse
sew,unemployed
masculine,breakdown
frown,disguise
astound,blueprint
dictator,rear
assessment,output
crucial,sermon
paralysis,sprout
deck,tin
reform,hostile
deal,characteristic
recruit,respect
maintain,await
workshop,concrete
patient,lease
convention,racial
devastate,variable
reap,satisfy
overlook,rule
deliver,perseverance
reject,fatal
nourish,remove
bay,invert
stun,tension
particular,reign
bulletin,crack
fluid,startle
affair,discourage
dawn,compensate
convert,peculiar
strike,sake
suppress,choke
core,folktale
contribute,simultaneously
spear,range
renowned,groom
era,supernatural
withdraw,tender
immigrate,instinct
dignity,gigantic
notify,meditate
animate,mow
prevent,evolve
bilingual,chase
mischief,afflict
discriminate,literate
exemplify,coherent
adhere,intolerable
judge,fountain
bold,conceal
compliment,retreat
summit,compulsive
troop,clinic
alter,banner
conceive,formulate
durability,vow
destroy,malnutrition
shallow,relate
face,undergo
promote,boast
weep,neutral
grasp,stain
overall,incentive
superstition,float
colony,tendency
absurd,applause
dormitory,wrestle
conduct,sensation
prone,Confucian
draft,subtract
crude,impulse
supplement,utmost
velocity,proficient
tame,accumulate
molecule,embody
manage,equity
dismay,violate
diagnose,ambitious
adapt,borrow
reservoir,attend
conform,trim
spacious,navigate
weave,tray
boundary,consist
motive,ceremony
prominent,attack
inferior,confine
rigid,dispatch
archeology,diameter
anecdote,damp
propriety,script
blame,possibility
earn,discuss
pledge,sibling
cost,lay
geology,flourish
detect,discharge
temperate,thorough
soar,undertake
mock,panel
disclose,linguistic
exhibit,remedy
symptom,feed
intact,sophomore
invent,remind
awkward,sole
grind,pillar
expose,explode
closet,illusion
regret,humble
submit,bounce
divine,imprison
revenue,enlist
corrupt,hygiene
separate,upcoming
factual,trace
swamp,pulse
expedition,locate
abnormal,controversy
storage,flattery
revive,regard
consistent,convenience
motion,carbon
patent,rush
virtue,contaminate
deadline,external
equator,herd
cognitive,allocate
hinder,gorgeous
confess,lottery
subjective,certificate
casual,transplant
acknowledge,cluster
accord,plea
immense,derive
extract,plague
sewage,ultrasound
reconciliation,deluxe
explore,convey
warrant,depth
complement,evaporate
ceramic,lame
license,intelligence
emerge,sour
halt,repetitive
pierce,oppress
ponder,leftover
burglar,embrace
stroke,blade
abundant,obsess
duplicate,suitor
spoil,rational
altitude,discreet
glimpse,pioneer
blend,assert
swell,undo
grief,inevitable
beverage,elaborate
warrior,toss
shrub,retain
slice,maximize
exotic,buildup
arrogant,machinery
vanish,sacrifice
outbreak,auditorium
predominant,linger
cozy,neglect
recommend,feedback
auction,radioactive
impair,ornament
metaphor,probe
dispense,vibrate
bruise,speculate
attorney,versus
sanitation,pregnant
heredity,epidemic
naive,precede
shed,breathtaking
metropolitan,foundation
shield,stimulate
ecology,fabric
record,overturn
expel,ripe
plow,framework
prolong,urgent
fluent,settle
margin,conflict
induce,vapor
interior,tuition
literature,resemble
loop,orchard
quote,compassion
inhale,preoccupation
prospect,paste
anchor,provoke
reference,wicked
compound,sprain
withstand,sequence
implement,stool
anonymous,disrupt
collide,solitary
memorial,bury
vacant,rust
technical,fad
thrill,referee
wander,sector
proportion,boost
antibiotic,gymnastics
overtake,gross
last,divide
tariff,inborn
beloved,overlap
lyric,fatigue
yeast,clone
skyscraper,peel
inquire,ease
spade,overcome
vacuum,fund
migrate,bias
spectacle,vaccine
surplus,tread
simulate,vomit
integration,prophecy
hypothesis,correspond
affirm,cling
fortress,mutation
reed,obscure
cue,tyrant
mole,odd
intriguing,testify
restrain,mentor
bundle,vivid
enclose,pasture
insert,crust
keen,comprehend
constrict,plunge
aid,nasty
reputation,appreciate
measurement,emigrate
originate,deed
flour,skinny
manipulate,grill
experiment,canal
patriot,curse
interchange,adverse
intuitive,censorship
garment,forehead
spontaneous,appetite
vertical,flaw
outgoing,inspect
verbal,carriage
liberate,primitive
segregation,compress
advance,govern
contemplate,cemetery
underlying,shatter
academic,exaggerate
stem,random
irrigation,feast
consecutive,commemorate
superficial,steep
refuge,multitask
swear,toxic
allergy,stare
norm,chronic
endeavor,designate
erect,dramatic
feminine,intense
drowsy,propaganda
numerous,upset
shiver,stretch
retarded,seize
ongoing,screw
mention,savage
executive,province
chaos,coordinate
microscope,deficient
belonging,privilege
vulnerable,preview
implication,equivalent
alley,shelter
authentic,throughout
compel,outlaw
transition,squeeze
index,breakthrough
incline,consent
attain,orphan
innate,negotiate
ingenuity,nuisance
recipe,afford
deceive,blunt
sweep,sprint
profile,passerby
enterprise,tense
successive,boil
paradox,timber
surpass,collaborate
correlation,stance
magnitude,blow
aesthetics,ballot
earnest,division
tremble,acquaintance
slaughter,amplify
surrender,contradict
philosophy,burst
deplete,cast
admire,falsify
starvation,psychic
summon,paddle
steer,gracious
affection,aspire
bid,obstruct
compost,patrol
temperament,accelerate
rent,heatstroke
shred,oval
unpredictable,veteran
tribute,trail
artery,vocation
inherent,vegetarian
harass,decode
narrative,fellow
assemble,mandate
spike,perish
sneak,inseparable
sophisticated,domain
handle,statesman
enlightenment,connotation
cosmetic,stereotype
hollow,suicide
structural,lure
mortgage,underprivileged
inject,morale
crisis,examine
latter,compromise
illuminate,foremost
mimic,precaution
unearth,torture
wail,entrust
shudder,sway
stride,religious
applicant,obligation
disprove,pest
disturb,subdue
hemisphere,incorporate
recur,regime
elastic,terminate
counterpart,rebel
stubborn,meanwhile
folklore,defend
vast,fraud
preliminary,easygoing
theft,insomnia
painkiller,intermediate
amend,transport
recess,paradigm
exploit,charge
autonomy,rapid
outfit,premature
mourn,pollute
evoke,altruism
burden,fiber
latitude,irony
patch,spectator
maternal,medieval
pharmacy,analogy
marine,snatch
prestigious,anthropology
friction,outline
slogan,registration
composure,rejoice
incurable,comprise
parallel,textile
indulge,lurk
meadow,humanity
venture,approximate
deflect,revenge
adorable,sarcastic
complacent,terrain
explicit,toll
sturdy,warfare
primate,mortal
patron,spouse
endure,crispy
manifest,statistical
imperial,rubbish
duration,stimulus
populate,clumsy
frugal,subsequent
relevant,vanity
predator,firsthand
drain,obesity
countless,dilemma
condense,render
post,indispensable
poise,outdated
disciple,bother
gust,counteract
collective,static
scope,sustain
compatible,posture
border,discourse
frontier,bribe
withhold,juggle
verdict,perspiration
stall,retention
apparatus,valiant
hail,distress
outburst,nursery
encircle,spur
notion,discern
disgust,scheme
fragment,weigh
oversee,publicity
creep,declare
clarify,brisk
contagious,exile
deterioration,whisper
currency,fling
janitor,deviation
blush,dissolve
intervene,constraint
nomad,itch
cuisine,unanimous
dare,delude
solvent,dehydrate
cultivate,underneath
ascent,metabolism
advocate,appoint
pinch,segment
punctual,coexist
arbitrary,hospitality
catastrophe,estate
exert,displace
aviate,cripple
headquarters,drawback
rectangular,tactics
delegate,dread
elect,dispute
thorn,console
empathize,stack
expertise,cynical
renovate,reprove
wrench,verify
interval,engross
degrade,bulk
retort,despise
asthma,manuscript
realm,flee
prehistoric,prehistoric
barrel,barrel
predecessor,predecessor
alienate,alienate
proclaim,proclaim
subordinate,subordinate
furnish,furnish
fume,fume
staple,staple
dimension,dimension
dispersal,dispersal
eloquent,eloquent
innermost,innermost
hazardous,hazardous
skull,skull
detergent,detergent
brutal,brutal
rash,rash
bypass,bypass
accommodate,accommodate
endow,inference
extrinsic,refraction
merge,dusk
frantic,detach
moan,antagonist
merchandise,thrust
respectively,creed
yearn,missionary
conviction,cosmopolitan
stout,secondhand
reckon,multiple
enchant,embed
entail,propel
demolish,reptile
degenerate,erosion
sentiment,feat
offspring,utensil
detest,penetrate
tackle,intrude
defy,notable
grumble,setback
landfill,prudent
scrutiny,solidify
reckless,grudge
synthetic,lessen
productive,tangle
outset,subsidy
peril,ambiguous
pitfall,enthusiasm
kidnap,bankruptcy
liable,pollination
insane,prosper
equate,phase
misplace,veterinarian
auditory,counterattack
rage,cumulative
radius,infrastructure
hybrid,wound
uncover,discrete
limb,fluctuation
